Column1,work_year,Experience,experience_level,EmpType,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,companyseze,,Ex level,Ex level FF
254,2021,Intermediate,MI,Full Time,FT,Data Analyst,93000,USD,93000,US,100,US,L,Large,,,
255,2021,Senior,SE,Full Time,FT,Big Data Architect,125000,CAD,99703,CA,50,CA,M,Medium,,,
256,2021,Intermediate,MI,Full Time,FT,Data Engineer,200000,USD,200000,US,100,US,L,Large,,,
257,2021,Senior,SE,Full Time,FT,Principal Data Scientist,147000,EUR,173762,DE,100,DE,M,Medium,,,
258,2021,Senior,SE,Full Time,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L,Large,,,
259,2021,Director,EX,Full Time,FT,Director of Data Science,120000,EUR,141846,DE,0,DE,L,Large,,,
260,2021,Intermediate,MI,Full Time,FT,Data Scientist,130000,USD,130000,US,50,US,L,Large,,,
261,2021,Senior,SE,Full Time,FT,Data Analyst,54000,EUR,63831,DE,50,DE,L,Large,,,
262,2021,Intermediate,MI,Full Time,FT,Data Scientist,1250000,INR,16904,IN,100,IN,S,Small,,,
263,2021,Senior,SE,Full Time,FT,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,L,Large,,,
264,2021,Intermediate,MI,Full Time,FT,Data Scientist,21600,EUR,25532,RS,100,DE,S,Small,,,
265,2021,Senior,SE,Full Time,FT,Lead Data Engineer,160000,USD,160000,PR,50,US,S,Small,,,
266,2021,Intermediate,MI,Full Time,FT,Data Engineer,93150,USD,93150,US,0,US,M,Medium,,,
267,2021,Intermediate,MI,Full Time,FT,Data Engineer,111775,USD,111775,US,0,US,M,Medium,,,
268,2021,Intermediate,MI,Full Time,FT,Data Engineer,250000,TRY,28016,TR,100,TR,M,Medium,,,
269,2021,Junior,EN,Full Time,FT,Data Engineer,55000,EUR,65013,DE,50,DE,M,Medium,,,
270,2021,Junior,EN,Full Time,FT,Data Engineer,72500,USD,72500,US,100,US,L,Large,,,
271,2021,Senior,SE,Full Time,FT,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,M,Medium,,,
272,2021,Junior,EN,Full Time,FT,Data Science Consultant,65000,EUR,76833,DE,0,DE,L,Large,,,
273,2021,Junior,EN,Full Time,FT,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S,Small,,,
274,2021,Senior,SE,Full Time,FT,Data Scientist,65720,EUR,77684,FR,50,FR,M,Medium,,,
275,2021,Junior,EN,Full Time,FT,Data Scientist,100000,USD,100000,US,100,US,M,Medium,,,
276,2021,Junior,EN,Full Time,FT,Data Scientist,58000,USD,58000,US,50,US,L,Large,,,
277,2021,Senior,SE,Full Time,FT,AI Scientist,55000,USD,55000,ES,100,ES,L,Large,,,
278,2021,Senior,SE,Full Time,FT,Data Scientist,180000,TRY,20171,TR,50,TR,L,Large,,,
279,2021,Junior,EN,Full Time,FT,Business Data Analyst,50000,EUR,59102,LU,100,LU,L,Large,,,
280,2021,Intermediate,MI,Full Time,FT,Data Engineer,112000,USD,112000,US,100,US,L,Large,,,
281,2021,Junior,EN,Full Time,FT,Research Scientist,100000,USD,100000,JE,0,CN,L,Large,,,
282,2021,Intermediate,MI,Part Time,PT,Data Engineer,59000,EUR,69741,NL,100,NL,L,Large,,,
283,2021,Senior,SE,Contract,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M,Medium,,,
284,2021,Intermediate,MI,Full Time,FT,Research Scientist,69999,USD,69999,CZ,50,CZ,L,Large,,,
285,2021,Senior,SE,Full Time,FT,Data Science Manager,7000000,INR,94665,IN,50,IN,L,Large,,,
286,2021,Senior,SE,Full Time,FT,Head of Data,87000,EUR,102839,SI,100,SI,L,Large,,,
287,2021,Intermediate,MI,Full Time,FT,Data Scientist,109000,USD,109000,US,50,US,L,Large,,,
288,2021,Intermediate,MI,Full Time,FT,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L,Large,,,
289,2022,Senior,SE,Full Time,FT,Data Engineer,135000,USD,135000,US,100,US,M,Medium,,,
290,2022,Senior,SE,Full Time,FT,Data Analyst,155000,USD,155000,US,100,US,M,Medium,,,
291,2022,Senior,SE,Full Time,FT,Data Analyst,120600,USD,120600,US,100,US,M,Medium,,,
292,2022,Intermediate,MI,Full Time,FT,Data Scientist,130000,USD,130000,US,0,US,M,Medium,,,
293,2022,Intermediate,MI,Full Time,FT,Data Scientist,90000,USD,90000,US,0,US,M,Medium,,,
294,2022,Intermediate,MI,Full Time,FT,Data Engineer,170000,USD,170000,US,100,US,M,Medium,,,
295,2022,Intermediate,MI,Full Time,FT,Data Engineer,150000,USD,150000,US,100,US,M,Medium,,,
296,2022,Senior,SE,Full Time,FT,Data Analyst,102100,USD,102100,US,100,US,M,Medium,,,
297,2022,Senior,SE,Full Time,FT,Data Analyst,84900,USD,84900,US,100,US,M,Medium,,,
298,2022,Senior,SE,Full Time,FT,Data Scientist,136620,USD,136620,US,100,US,M,Medium,,,
299,2022,Senior,SE,Full Time,FT,Data Scientist,99360,USD,99360,US,100,US,M,Medium,,,
300,2022,Senior,SE,Full Time,FT,Data Scientist,90000,GBP,117789,GB,0,GB,M,Medium,,,
301,2022,Senior,SE,Full Time,FT,Data Scientist,80000,GBP,104702,GB,0,GB,M,Medium,,,
302,2022,Senior,SE,Full Time,FT,Data Scientist,146000,USD,146000,US,100,US,M,Medium,,,
303,2022,Senior,SE,Full Time,FT,Data Scientist,123000,USD,123000,US,100,US,M,Medium,,,
304,2022,Junior,EN,Full Time,FT,Data Engineer,40000,GBP,52351,GB,100,GB,M,Medium,,,
305,2022,Senior,SE,Full Time,FT,Data Analyst,99000,USD,99000,US,0,US,M,Medium,,,
306,2022,Senior,SE,Full Time,FT,Data Analyst,116000,USD,116000,US,0,US,M,Medium,,,
307,2022,Intermediate,MI,Full Time,FT,Data Analyst,106260,USD,106260,US,0,US,M,Medium,,,
308,2022,Intermediate,MI,Full Time,FT,Data Analyst,126500,USD,126500,US,0,US,M,Medium,,,
309,2022,Director,EX,Full Time,FT,Data Engineer,242000,USD,242000,US,100,US,M,Medium,,,
310,2022,Director,EX,Full Time,FT,Data Engineer,200000,USD,200000,US,100,US,M,Medium,,,
311,2022,Intermediate,MI,Full Time,FT,Data Scientist,50000,GBP,65438,GB,0,GB,M,Medium,,,
312,2022,Intermediate,MI,Full Time,FT,Data Scientist,30000,GBP,39263,GB,0,GB,M,Medium,,,
313,2022,Intermediate,MI,Full Time,FT,Data Engineer,60000,GBP,78526,GB,0,GB,M,Medium,,,
314,2022,Intermediate,MI,Full Time,FT,Data Engineer,40000,GBP,52351,GB,0,GB,M,Medium,,,
315,2022,Senior,SE,Full Time,FT,Data Scientist,165220,USD,165220,US,100,US,M,Medium,,,
316,2022,Junior,EN,Full Time,FT,Data Engineer,35000,GBP,45807,GB,100,GB,M,Medium,,,
317,2022,Senior,SE,Full Time,FT,Data Scientist,120160,USD,120160,US,100,US,M,Medium,,,
318,2022,Senior,SE,Full Time,FT,Data Analyst,90320,USD,90320,US,100,US,M,Medium,,,
319,2022,Senior,SE,Full Time,FT,Data Engineer,181940,USD,181940,US,0,US,M,Medium,,,
320,2022,Senior,SE,Full Time,FT,Data Engineer,132320,USD,132320,US,0,US,M,Medium,,,
321,2022,Senior,SE,Full Time,FT,Data Engineer,220110,USD,220110,US,0,US,M,Medium,,,
322,2022,Senior,SE,Full Time,FT,Data Engineer,160080,USD,160080,US,0,US,M,Medium,,,
323,2022,Senior,SE,Full Time,FT,Data Scientist,180000,USD,180000,US,0,US,L,Large,,,
324,2022,Senior,SE,Full Time,FT,Data Scientist,120000,USD,120000,US,0,US,L,Large,,,
325,2022,Senior,SE,Full Time,FT,Data Analyst,124190,USD,124190,US,100,US,M,Medium,,,
326,2022,Director,EX,Full Time,FT,Data Analyst,130000,USD,130000,US,100,US,M,Medium,,,
327,2022,Director,EX,Full Time,FT,Data Analyst,110000,USD,110000,US,100,US,M,Medium,,,
328,2022,Senior,SE,Full Time,FT,Data Analyst,170000,USD,170000,US,100,US,M,Medium,,,
329,2022,Intermediate,MI,Full Time,FT,Data Analyst,115500,USD,115500,US,100,US,M,Medium,,,
330,2022,Senior,SE,Full Time,FT,Data Analyst,112900,USD,112900,US,100,US,M,Medium,,,
331,2022,Senior,SE,Full Time,FT,Data Analyst,90320,USD,90320,US,100,US,M,Medium,,,
332,2022,Senior,SE,Full Time,FT,Data Analyst,112900,USD,112900,US,100,US,M,Medium,,,
333,2022,Senior,SE,Full Time,FT,Data Analyst,90320,USD,90320,US,100,US,M,Medium,,,
334,2022,Senior,SE,Full Time,FT,Data Engineer,165400,USD,165400,US,100,US,M,Medium,,,
335,2022,Senior,SE,Full Time,FT,Data Engineer,132320,USD,132320,US,100,US,M,Medium,,,
336,2022,Intermediate,MI,Full Time,FT,Data Analyst,167000,USD,167000,US,100,US,M,Medium,,,
337,2022,Senior,SE,Full Time,FT,Data Engineer,243900,USD,243900,US,100,US,M,Medium,,,
338,2022,Senior,SE,Full Time,FT,Data Analyst,136600,USD,136600,US,100,US,M,Medium,,,
339,2022,Senior,SE,Full Time,FT,Data Analyst,109280,USD,109280,US,100,US,M,Medium,,,
340,2022,Senior,SE,Full Time,FT,Data Engineer,128875,USD,128875,US,100,US,M,Medium,,,
341,2022,Senior,SE,Full Time,FT,Data Engineer,93700,USD,93700,US,100,US,M,Medium,,,
342,2022,Director,EX,Full Time,FT,Head of Data Science,224000,USD,224000,US,100,US,M,Medium,,,
343,2022,Director,EX,Full Time,FT,Head of Data Science,167875,USD,167875,US,100,US,M,Medium,,,
344,2022,Director,EX,Full Time,FT,Analytics Engineer,175000,USD,175000,US,100,US,M,Medium,,,
345,2022,Senior,SE,Full Time,FT,Data Engineer,156600,USD,156600,US,100,US,M,Medium,,,
346,2022,Senior,SE,Full Time,FT,Data Engineer,108800,USD,108800,US,0,US,M,Medium,,,
347,2022,Senior,SE,Full Time,FT,Data Scientist,95550,USD,95550,US,0,US,M,Medium,,,
348,2022,Senior,SE,Full Time,FT,Data Engineer,113000,USD,113000,US,0,US,L,Large,,,
349,2022,Senior,SE,Full Time,FT,Data Analyst,135000,USD,135000,US,100,US,M,Medium,,,
350,2022,Senior,SE,Full Time,FT,Data Science Manager,161342,USD,161342,US,100,US,M,Medium,,,
351,2022,Senior,SE,Full Time,FT,Data Science Manager,137141,USD,137141,US,100,US,M,Medium,,,
352,2022,Senior,SE,Full Time,FT,Data Scientist,167000,USD,167000,US,100,US,M,Medium,,,
353,2022,Senior,SE,Full Time,FT,Data Scientist,123000,USD,123000,US,100,US,M,Medium,,,
354,2022,Senior,SE,Full Time,FT,Data Engineer,60000,GBP,78526,GB,0,GB,M,Medium,,,
355,2022,Senior,SE,Full Time,FT,Data Engineer,50000,GBP,65438,GB,0,GB,M,Medium,,,
356,2022,Senior,SE,Full Time,FT,Data Scientist,150000,USD,150000,US,0,US,M,Medium,,,
357,2022,Senior,SE,Full Time,FT,Data Scientist,211500,USD,211500,US,100,US,M,Medium,,,
358,2022,Senior,SE,Full Time,FT,Data Architect,192400,USD,192400,CA,100,CA,M,Medium,,,
359,2022,Senior,SE,Full Time,FT,Data Architect,90700,USD,90700,CA,100,CA,M,Medium,,,
360,2022,Senior,SE,Full Time,FT,Data Analyst,130000,USD,130000,CA,100,CA,M,Medium,,,
361,2022,Senior,SE,Full Time,FT,Data Analyst,61300,USD,61300,CA,100,CA,M,Medium,,,
362,2022,Senior,SE,Full Time,FT,Data Analyst,130000,USD,130000,CA,100,CA,M,Medium,,,
363,2022,Senior,SE,Full Time,FT,Data Analyst,61300,USD,61300,CA,100,CA,M,Medium,,,
364,2022,Senior,SE,Full Time,FT,Data Engineer,160000,USD,160000,US,0,US,L,Large,,,
365,2022,Senior,SE,Full Time,FT,Data Scientist,138600,USD,138600,US,100,US,M,Medium,,,
366,2022,Senior,SE,Full Time,FT,Data Engineer,136000,USD,136000,US,0,US,M,Medium,,,
367,2022,Intermediate,MI,Full Time,FT,Data Analyst,58000,USD,58000,US,0,US,S,Small,,,
368,2022,Director,EX,Full Time,FT,Analytics Engineer,135000,USD,135000,US,100,US,M,Medium,,,
369,2022,Senior,SE,Full Time,FT,Data Scientist,170000,USD,170000,US,100,US,M,Medium,,,
370,2022,Senior,SE,Full Time,FT,Data Scientist,123000,USD,123000,US,100,US,M,Medium,,,
371,2022,Senior,SE,Full Time,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M,Medium,,,
372,2022,Senior,SE,Full Time,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M,Medium,,,
373,2022,Intermediate,MI,Full Time,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M,Medium,,,
374,2022,Intermediate,MI,Full Time,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M,Medium,,,
375,2022,Director,EX,Full Time,FT,Lead Data Engineer,150000,CAD,118187,CA,100,CA,S,Small,,,
376,2022,Senior,SE,Full Time,FT,Data Analyst,132000,USD,132000,US,0,US,M,Medium,,,
377,2022,Senior,SE,Full Time,FT,Data Engineer,165400,USD,165400,US,100,US,M,Medium,,,
378,2022,Senior,SE,Full Time,FT,Data Architect,208775,USD,208775,US,100,US,M,Medium,,,
379,2022,Senior,SE,Full Time,FT,Data Architect,147800,USD,147800,US,100,US,M,Medium,,,
380,2022,Senior,SE,Full Time,FT,Data Engineer,136994,USD,136994,US,100,US,M,Medium,,,
381,2022,Senior,SE,Full Time,FT,Data Engineer,101570,USD,101570,US,100,US,M,Medium,,,
382,2022,Senior,SE,Full Time,FT,Data Analyst,128875,USD,128875,US,100,US,M,Medium,,,
383,2022,Senior,SE,Full Time,FT,Data Analyst,93700,USD,93700,US,100,US,M,Medium,,,
384,2022,Director,EX,Full Time,FT,Head of Machine Learning,6000000,INR,79039,IN,50,IN,L,Large,,,
385,2022,Senior,SE,Full Time,FT,Data Engineer,132320,USD,132320,US,100,US,M,Medium,,,
386,2022,Junior,EN,Full Time,FT,Machine Learning Engineer,28500,GBP,37300,GB,100,GB,L,Large,,,
387,2022,Senior,SE,Full Time,FT,Data Analyst,164000,USD,164000,US,0,US,M,Medium,,,
388,2022,Senior,SE,Full Time,FT,Data Engineer,155000,USD,155000,US,100,US,M,Medium,,,
389,2022,Intermediate,MI,Full Time,FT,Machine Learning Engineer,95000,GBP,124333,GB,0,GB,M,Medium,,,
390,2022,Intermediate,MI,Full Time,FT,Machine Learning Engineer,75000,GBP,98158,GB,0,GB,M,Medium,,,
391,2022,Intermediate,MI,Full Time,FT,AI Scientist,120000,USD,120000,US,0,US,M,Medium,,,
392,2022,Senior,SE,Full Time,FT,Data Analyst,112900,USD,112900,US,100,US,M,Medium,,,
393,2022,Senior,SE,Full Time,FT,Data Analyst,90320,USD,90320,US,100,US,M,Medium,,,
394,2022,Senior,SE,Full Time,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M,Medium,,,
395,2022,Senior,SE,Full Time,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M,Medium,,,
396,2022,Intermediate,MI,Full Time,FT,Machine Learning Engineer,80000,EUR,87932,FR,100,DE,M,Medium,,,
397,2022,Intermediate,MI,Full Time,FT,Data Engineer,90000,GBP,117789,GB,0,GB,M,Medium,,,
398,2022,Senior,SE,Full Time,FT,Data Scientist,215300,USD,215300,US,100,US,L,Large,,,
399,2022,Senior,SE,Full Time,FT,Data Scientist,158200,USD,158200,US,100,US,L,Large,,,
400,2022,Senior,SE,Full Time,FT,Data Engineer,209100,USD,209100,US,100,US,L,Large,,,
401,2022,Senior,SE,Full Time,FT,Data Engineer,154600,USD,154600,US,100,US,L,Large,,,
402,2022,Senior,SE,Full Time,FT,Data Analyst,115934,USD,115934,US,0,US,M,Medium,,,
403,2022,Senior,SE,Full Time,FT,Data Analyst,81666,USD,81666,US,0,US,M,Medium,,,
404,2022,Senior,SE,Full Time,FT,Data Engineer,175000,USD,175000,US,100,US,M,Medium,,,
405,2022,Intermediate,MI,Full Time,FT,Data Engineer,75000,GBP,98158,GB,0,GB,M,Medium,,,
406,2022,Intermediate,MI,Full Time,FT,Data Analyst,58000,USD,58000,US,0,US,S,Small,,,
407,2022,Senior,SE,Full Time,FT,Data Engineer,183600,USD,183600,US,100,US,L,Large,,,
408,2022,Intermediate,MI,Full Time,FT,Data Analyst,40000,GBP,52351,GB,100,GB,M,Medium,,,
409,2022,Senior,SE,Full Time,FT,Data Scientist,180000,USD,180000,US,100,US,M,Medium,,,
410,2022,Intermediate,MI,Full Time,FT,Data Scientist,55000,GBP,71982,GB,0,GB,M,Medium,,,
411,2022,Intermediate,MI,Full Time,FT,Data Scientist,35000,GBP,45807,GB,0,GB,M,Medium,,,
412,2022,Intermediate,MI,Full Time,FT,Data Engineer,60000,EUR,65949,GR,100,GR,M,Medium,,,
413,2022,Intermediate,MI,Full Time,FT,Data Engineer,45000,EUR,49461,GR,100,GR,M,Medium,,,
414,2022,Intermediate,MI,Full Time,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M,Medium,,,
415,2022,Intermediate,MI,Full Time,FT,Data Engineer,45000,GBP,58894,GB,100,GB,M,Medium,,,
416,2022,Senior,SE,Full Time,FT,Data Scientist,260000,USD,260000,US,100,US,M,Medium,,,
417,2022,Senior,SE,Full Time,FT,Data Science Engineer,60000,USD,60000,AR,100,MX,L,Large,,,
418,2022,Intermediate,MI,Full Time,FT,Data Engineer,63900,USD,63900,US,0,US,M,Medium,,,
419,2022,Intermediate,MI,Full Time,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L,Large,,,
420,2022,Intermediate,MI,Full Time,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L,Large,,,
421,2022,Intermediate,MI,Full Time,FT,Data Science Manager,241000,USD,241000,US,100,US,M,Medium,,,
422,2022,Intermediate,MI,Full Time,FT,Data Science Manager,159000,USD,159000,US,100,US,M,Medium,,,
423,2022,Senior,SE,Full Time,FT,Data Scientist,180000,USD,180000,US,0,US,M,Medium,,,
424,2022,Senior,SE,Full Time,FT,Data Scientist,80000,USD,80000,US,0,US,M,Medium,,,
425,2022,Intermediate,MI,Full Time,FT,Data Engineer,82900,USD,82900,US,0,US,M,Medium,,,
426,2022,Senior,SE,Full Time,FT,Data Engineer,100800,USD,100800,US,100,US,L,Large,,,
427,2022,Intermediate,MI,Full Time,FT,Data Engineer,45000,EUR,49461,ES,100,ES,M,Medium,,,
428,2022,Senior,SE,Full Time,FT,Data Scientist,140400,USD,140400,US,0,US,L,Large,,,
429,2022,Intermediate,MI,Full Time,FT,Data Analyst,30000,GBP,39263,GB,100,GB,M,Medium,,,
430,2022,Intermediate,MI,Full Time,FT,Data Analyst,40000,EUR,43966,ES,100,ES,M,Medium,,,
431,2022,Intermediate,MI,Full Time,FT,Data Analyst,30000,EUR,32974,ES,100,ES,M,Medium,,,
432,2022,Intermediate,MI,Full Time,FT,Data Engineer,80000,EUR,87932,ES,100,ES,M,Medium,,,
433,2022,Intermediate,MI,Full Time,FT,Data Engineer,70000,EUR,76940,ES,100,ES,M,Medium,,,
434,2022,Intermediate,MI,Full Time,FT,Data Engineer,80000,GBP,104702,GB,100,GB,M,Medium,,,
435,2022,Intermediate,MI,Full Time,FT,Data Engineer,70000,GBP,91614,GB,100,GB,M,Medium,,,
436,2022,Intermediate,MI,Full Time,FT,Data Engineer,60000,EUR,65949,ES,100,ES,M,Medium,,,
437,2022,Intermediate,MI,Full Time,FT,Data Engineer,80000,EUR,87932,GR,100,GR,M,Medium,,,
438,2022,Senior,SE,Full Time,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M,Medium,,,
439,2022,Senior,SE,Full Time,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M,Medium,,,
440,2022,Intermediate,MI,Full Time,FT,Data Analyst,40000,EUR,43966,GR,100,GR,M,Medium,,,
441,2022,Intermediate,MI,Full Time,FT,Data Analyst,30000,EUR,32974,GR,100,GR,M,Medium,,,
442,2022,Intermediate,MI,Full Time,FT,Data Engineer,75000,GBP,98158,GB,100,GB,M,Medium,,,
443,2022,Intermediate,MI,Full Time,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M,Medium,,,
444,2022,Senior,SE,Full Time,FT,Data Scientist,215300,USD,215300,US,0,US,L,Large,,,
445,2022,Intermediate,MI,Full Time,FT,Data Engineer,70000,EUR,76940,GR,100,GR,M,Medium,,,
446,2022,Senior,SE,Full Time,FT,Data Engineer,209100,USD,209100,US,100,US,L,Large,,,
447,2022,Senior,SE,Full Time,FT,Data Engineer,154600,USD,154600,US,100,US,L,Large,,,
448,2022,Senior,SE,Full Time,FT,Data Engineer,180000,USD,180000,US,100,US,M,Medium,,,
449,2022,Junior,EN,Full Time,FT,ML Engineer,20000,EUR,21983,PT,100,PT,L,Large,,,
450,2022,Senior,SE,Full Time,FT,Data Engineer,80000,USD,80000,US,100,US,M,Medium,,,
451,2022,Intermediate,MI,Full Time,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M,Medium,,,
452,2022,Director,EX,Full Time,FT,Director of Data Science,250000,CAD,196979,CA,50,CA,L,Large,,,
453,2022,Intermediate,MI,Full Time,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S,Small,,,
454,2022,Junior,EN,Full Time,FT,Computer Vision Engineer,125000,USD,125000,US,0,US,M,Medium,,,
455,2022,Intermediate,MI,Full Time,FT,NLP Engineer,240000,CNY,37236,US,50,US,L,Large,,,
456,2022,Senior,SE,Full Time,FT,Data Engineer,105000,USD,105000,US,100,US,M,Medium,,,
457,2022,Senior,SE,Full Time,FT,Lead Machine Learning Engineer,80000,EUR,87932,DE,0,DE,M,Medium,,,
458,2022,Intermediate,MI,Full Time,FT,Business Data Analyst,1400000,INR,18442,IN,100,IN,M,Medium,,,
459,2022,Intermediate,MI,Full Time,FT,Data Scientist,2400000,INR,31615,IN,100,IN,L,Large,,,
460,2022,Intermediate,MI,Full Time,FT,Machine Learning Infrastructure Engineer,53000,EUR,58255,PT,50,PT,L,Large,,,
461,2022,Junior,EN,Full Time,FT,Financial Data Analyst,100000,USD,100000,US,50,US,L,Large,,,
462,2022,Intermediate,MI,Part Time,PT,Data Engineer,50000,EUR,54957,DE,50,DE,L,Large,,,
463,2022,Junior,EN,Full Time,FT,Data Scientist,1400000,INR,18442,IN,100,IN,M,Medium,,,
464,2022,Senior,SE,Full Time,FT,Principal Data Scientist,148000,EUR,162674,DE,100,DE,M,Medium,,,
465,2022,Junior,EN,Full Time,FT,Data Engineer,120000,USD,120000,US,100,US,M,Medium,,,
466,2022,Senior,SE,Full Time,FT,Research Scientist,144000,USD,144000,US,50,US,L,Large,,,
467,2022,Senior,SE,Full Time,FT,Data Scientist,104890,USD,104890,US,100,US,M,Medium,,,
468,2022,Senior,SE,Full Time,FT,Data Engineer,100000,USD,100000,US,100,US,M,Medium,,,
469,2022,Senior,SE,Full Time,FT,Data Scientist,140000,USD,140000,US,100,US,M,Medium,,,
470,2022,Intermediate,MI,Full Time,FT,Data Analyst,135000,USD,135000,US,100,US,M,Medium,,,
471,2022,Intermediate,MI,Full Time,FT,Data Analyst,50000,USD,50000,US,100,US,M,Medium,,,
472,2022,Senior,SE,Full Time,FT,Data Scientist,220000,USD,220000,US,100,US,M,Medium,,,
473,2022,Senior,SE,Full Time,FT,Data Scientist,140000,USD,140000,US,100,US,M,Medium,,,
474,2022,Intermediate,MI,Full Time,FT,Data Scientist,140000,GBP,183228,GB,0,GB,M,Medium,,,
475,2022,Intermediate,MI,Full Time,FT,Data Scientist,70000,GBP,91614,GB,0,GB,M,Medium,,,
476,2022,Senior,SE,Full Time,FT,Data Scientist,185100,USD,185100,US,100,US,M,Medium,,,
477,2022,Senior,SE,Full Time,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M,Medium,,,
478,2022,Intermediate,MI,Full Time,FT,Data Scientist,200000,USD,200000,US,100,US,M,Medium,,,
479,2022,Intermediate,MI,Full Time,FT,Data Scientist,120000,USD,120000,US,100,US,M,Medium,,,
480,2022,Senior,SE,Full Time,FT,Machine Learning Engineer,120000,USD,120000,AE,100,AE,S,Small,,,
481,2022,Senior,SE,Full Time,FT,Machine Learning Engineer,65000,USD,65000,AE,100,AE,S,Small,,,
482,2022,Director,EX,Full Time,FT,Data Engineer,324000,USD,324000,US,100,US,M,Medium,,,
483,2022,Director,EX,Full Time,FT,Data Engineer,216000,USD,216000,US,100,US,M,Medium,,,
484,2022,Senior,SE,Full Time,FT,Data Engineer,210000,USD,210000,US,100,US,M,Medium,,,
485,2022,Senior,SE,Full Time,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M,Medium,,,
486,2022,Senior,SE,Full Time,FT,Data Scientist,230000,USD,230000,US,100,US,M,Medium,,,
487,2022,Junior,EN,Part Time,PT,Data Scientist,100000,USD,100000,DZ,50,DZ,M,Medium,,,
488,2022,Intermediate,MI,Freelance,FL,Data Scientist,100000,USD,100000,CA,100,US,M,Medium,,,
489,2022,Junior,EN,Contract,CT,Applied Machine Learning Scientist,29000,EUR,31875,TN,100,CZ,M,Medium,,,
490,2022,Senior,SE,Full Time,FT,Head of Data,200000,USD,200000,MY,100,US,M,Medium,,,
491,2022,Intermediate,MI,Full Time,FT,Principal Data Analyst,75000,USD,75000,CA,100,CA,S,Small,,,
492,2022,Intermediate,MI,Full Time,FT,Data Scientist,150000,PLN,35590,PL,100,PL,L,Large,,,
493,2022,Senior,SE,Full Time,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M,Medium,,,
494,2022,Senior,SE,Full Time,FT,Data Scientist,100000,USD,100000,BR,100,US,M,Medium,,,
495,2022,Intermediate,MI,Full Time,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M,Medium,,,
496,2022,Junior,EN,Full Time,FT,Data Engineer,52800,EUR,58035,PK,100,DE,M,Medium,,,
497,2022,Senior,SE,Full Time,FT,Data Scientist,165000,USD,165000,US,100,US,M,Medium,,,
498,2022,Senior,SE,Full Time,FT,Research Scientist,85000,EUR,93427,FR,50,FR,L,Large,,,
499,2022,Junior,EN,Full Time,FT,Data Scientist,66500,CAD,52396,CA,100,CA,L,Large,,,
500,2022,Senior,SE,Full Time,FT,Machine Learning Engineer,57000,EUR,62651,NL,100,NL,L,Large,,,
501,2022,Intermediate,MI,Full Time,FT,Head of Data,30000,EUR,32974,EE,100,EE,S,Small,,,
502,2022,Junior,EN,Full Time,FT,Data Scientist,40000,USD,40000,JP,100,MY,L,Large,,,
503,2022,Intermediate,MI,Full Time,FT,Machine Learning Engineer,121000,AUD,87425,AU,100,AU,L,Large,,,
504,2022,Senior,SE,Full Time,FT,Data Engineer,115000,USD,115000,US,100,US,M,Medium,,,
505,2022,Junior,EN,Full Time,FT,Data Scientist,120000,AUD,86703,AU,50,AU,M,Medium,,,
506,2022,Intermediate,MI,Full Time,FT,Applied Machine Learning Scientist,75000,USD,75000,BO,100,US,L,Large,,,
507,2022,Intermediate,MI,Full Time,FT,Research Scientist,59000,EUR,64849,AT,0,AT,L,Large,,,
508,2022,Junior,EN,Full Time,FT,Research Scientist,120000,USD,120000,US,100,US,L,Large,,,
509,2022,Intermediate,MI,Full Time,FT,Applied Data Scientist,157000,USD,157000,US,100,US,L,Large,,,
510,2022,Junior,EN,Full Time,FT,Computer Vision Software Engineer,150000,USD,150000,AU,100,AU,S,Small,,,
511,2022,Intermediate,MI,Full Time,FT,Business Data Analyst,90000,CAD,70912,CA,50,CA,L,Large,,,
512,2022,Junior,EN,Full Time,FT,Data Engineer,65000,USD,65000,US,100,US,S,Small,,,
513,2022,Senior,SE,Full Time,FT,Machine Learning Engineer,65000,EUR,71444,IE,100,IE,S,Small,,,
514,2022,Junior,EN,Full Time,FT,Data Analytics Engineer,20000,USD,20000,PK,0,PK,M,Medium,,,
